game_id,team_id,player_id,player_name,team_name,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100304,1610612748,1629216,Gabe Vincent,Miami Heat,0,0.0,40.0,0,0,2,0,5,3,0,5,5
g0042100304,1610612738,1628464,Daniel Theis,Boston Celtics,0,66.67,0,0,2,0,0,1,0,0,3,0
g0042100304,1610612748,1629622,Max Strus,Miami Heat,0,0.0,0.0,0,0,0,0,3,4,0,3,4
g0042100304,1610612738,201143,Al Horford,Boston Celtics,100.0,0.0,100.0,2,0,1,0,1,0,2,1,1
g0042100304,1610612748,200768,Kyle Lowry,Miami Heat,0,0.0,33.33,0,0,1,0,3,2,0,3,3
g0042100304,1610612748,1628997,Caleb Martin,Miami Heat,0.0,60.0,40.0,0,3,2,1,2,3,1,5,5
g0042100304,1610612748,1629130,Duncan Robinson,Miami Heat,0,33.33,50.0,0,1,4,0,2,4,0,3,8
g0042100304,1610612748,200782,P.J. Tucker,Miami Heat,0,0.0,0.0,0,0,0,0,3,1,0,3,1
g0042100304,1610612738,1628369,Jayson Tatum,Boston Celtics,87.5,77.78,14.29,14,7,1,2,2,6,16,9,7
g0042100304,1610612748,203473,Dewayne Dedmon,Miami Heat,0,66.67,100.0,0,2,1,0,1,0,0,3,1
g0042100304,1610612748,202710,Jimmy Butler,Miami Heat,0,25.0,0.0,0,3,0,0,9,2,0,12,2
g0042100304,1610612738,1630174,Aaron Nesmith,Boston Celtics,0,100.0,0.0,0,1,0,0,0,1,0,1,1
g0042100304,1610612748,1628389,Bam Adebayo,Miami Heat,60.0,60.0,0,3,3,0,2,2,0,5,5,0
g0042100304,1610612738,1627759,Jaylen Brown,Boston Celtics,50.0,28.57,16.67,1,4,1,1,10,5,2,14,6
g0042100304,1610612738,1628401,Derrick White,Boston Celtics,66.67,50.0,12.5,4,3,1,2,3,7,6,6,8
g0042100304,1610612748,203506,Victor Oladipo,Miami Heat,62.5,33.33,57.14,5,3,4,3,6,3,8,9,7
g0042100304,1610612738,1629684,Grant Williams,Boston Celtics,100.0,0.0,20.0,4,0,1,0,3,4,4,3,5
g0042100304,1610612738,1630202,Payton Pritchard,Boston Celtics,50.0,100.0,50.0,1,2,3,1,0,3,2,2,6
g0042100305,1610612738,1629057,Robert Williams III,Boston Celtics,100.0,100.0,0,2,2,0,0,0,0,2,2,0
g0042100305,1610612748,1630209,Omer Yurtseven,Miami Heat,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100305,1610612738,203917,Nik Stauskas,Boston Celtics,0,0,0.0,0,0,0,0,0,2,0,0,2
g0042100305,1610612738,203935,Marcus Smart,Boston Celtics,100.0,0.0,33.33,2,0,1,0,2,2,2,2,3
g0042100305,1610612748,1629216,Gabe Vincent,Miami Heat,100.0,100.0,14.29,2,5,1,0,0,6,2,5,7
g0042100305,1610612748,1629622,Max Strus,Miami Heat,100.0,0.0,0.0,4,0,0,0,2,7,4,2,7
g0042100305,1610612738,201143,Al Horford,Boston Celtics,71.43,80.0,33.33,5,4,1,2,1,2,7,5,3
g0042100305,1610612748,200768,Kyle Lowry,Miami Heat,0,0.0,0.0,0,0,0,0,1,5,0,1,5
g0042100305,1610612748,1628997,Caleb Martin,Miami Heat,0,50.0,33.33,0,2,1,0,2,2,0,4,3
g0042100305,1610612748,1629130,Duncan Robinson,Miami Heat,0,50.0,30.0,0,1,3,0,1,7,0,2,10
g0042100305,1610612748,200782,P.J. Tucker,Miami Heat,0,100.0,20.0,0,2,1,0,0,4,0,2,5
g0042100305,1610612738,1628369,Jayson Tatum,Boston Celtics,75.0,41.67,25.0,6,5,2,2,7,6,8,12,8
g0042100305,1610612748,202710,Jimmy Butler,Miami Heat,100.0,23.08,20.0,4,3,1,0,10,4,4,13,5
g0042100305,1610612748,1628389,Bam Adebayo,Miami Heat,100.0,53.33,0,2,8,0,0,7,0,2,15,0
g0042100305,1610612738,1627759,Jaylen Brown,Boston Celtics,0.0,50.0,55.56,0,5,5,1,5,4,1,10,9
g0042100305,1610612738,1628401,Derrick White,Boston Celtics,66.67,100.0,0.0,2,6,0,1,0,2,3,6,2
g0042100305,1610612748,203506,Victor Oladipo,Miami Heat,50.0,25.0,0.0,1,1,0,1,3,3,2,4,3
g0042100305,1610612738,1629684,Grant Williams,Boston Celtics,0,100.0,25.0,0,1,1,0,0,3,0,1,4
g0042100305,1610612738,1630202,Payton Pritchard,Boston Celtics,0,0,0.0,0,0,0,0,0,2,0,0,2
g0042100306,1610612738,1629057,Robert Williams III,Boston Celtics,100.0,71.43,0,2,5,0,0,2,0,2,7,0
g0042100306,1610612738,203935,Marcus Smart,Boston Celtics,100.0,50.0,11.11,5,3,1,0,3,8,5,6,9
g0042100306,1610612748,1629216,Gabe Vincent,Miami Heat,100.0,0,0.0,2,0,0,0,0,2,2,0,2
g0042100306,1610612748,1629622,Max Strus,Miami Heat,0,50.0,37.5,0,2,3,0,2,5,0,4,8
g0042100306,1610612738,201143,Al Horford,Boston Celtics,0,0.0,16.67,0,0,1,0,2,5,0,2,6
g0042100306,1610612748,200768,Kyle Lowry,Miami Heat,100.0,20.0,44.44,4,1,4,0,4,5,4,5,9
g0042100306,1610612748,1628997,Caleb Martin,Miami Heat,0,33.33,100.0,0,1,1,0,2,0,0,3,1
