game_id,team_id,player_id,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100402,1610612738,1630573,0,0,50.0,0,0,1,0,0,1,0,0,2
g0042100402,1610612738,1627759,80.0,25.0,33.33,4,2,3,1,6,6,5,8,9
g0042100402,1610612738,1628401,100.0,22.22,50.0,2,2,2,0,7,2,2,9,4
g0042100402,1610612738,1629684,50.0,100.0,100.0,1,1,1,1,0,0,2,1,1
g0042100402,1610612744,202357,0,75.0,0,0,3,0,0,1,0,0,4,0
g0042100402,1610612738,1630202,0,50.0,0.0,0,2,0,0,2,3,0,4,3
g0042100402,1610612744,1629308,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100403,1610612738,1629057,0,80.0,0,0,4,0,0,1,0,0,5,0
g0042100403,1610612744,1627780,100.0,0.0,0,2,0,0,0,2,0,2,2,0
g0042100403,1610612738,203917,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100403,1610612738,203935,71.43,50.0,42.86,5,5,3,2,5,4,7,10,7
g0042100403,1610612744,1627814,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100403,1610612744,203952,75.0,60.0,16.67,3,6,1,1,4,5,4,10,6
g0042100403,1610612738,201143,0.0,80.0,50.0,0,4,1,2,1,1,2,5,2
g0042100403,1610612744,1626172,0,75.0,0,0,3,0,0,1,0,0,4,0
g0042100403,1610612744,202691,100.0,50.0,38.46,6,2,5,0,2,8,6,4,13
g0042100403,1610612738,1628369,83.33,42.86,33.33,5,6,3,1,8,6,6,14,9
g0042100403,1610612744,201939,100.0,54.55,54.55,1,6,6,0,5,5,1,11,11
g0042100403,1610612738,1630174,0,0.0,0,0,0,0,0,1,0,0,1,0
g0042100403,1610612744,203490,0,0,66.67,0,0,2,0,0,1,0,0,3
g0042100403,1610612744,203110,0,50.0,0.0,0,1,0,0,1,2,0,2,2
g0042100403,1610612744,1629673,50.0,75.0,25.0,1,3,1,1,1,3,2,4,4
g0042100403,1610612738,1630573,0,0.0,0,0,0,0,0,1,0,0,1,0
g0042100403,1610612738,1627759,83.33,62.5,50.0,5,5,4,1,3,4,6,8,8
g0042100403,1610612738,1628401,100.0,50.0,0.0,1,3,0,0,3,3,1,6,3
g0042100403,1610612738,1629684,50.0,100.0,25.0,1,3,1,1,0,3,2,3,4
g0042100403,1610612744,202357,0,0.0,0,0,0,0,0,1,0,0,1,0
g0042100403,1610612738,1630202,0,0.0,100.0,0,0,1,0,1,0,0,1,1
g0042100404,1610612738,1629057,50.0,100.0,0,1,3,0,1,0,0,2,3,0
g0042100404,1610612744,1627780,50.0,100.0,0.0,1,2,0,1,0,1,2,2,1
g0042100404,1610612738,203935,100.0,44.44,33.33,1,4,3,0,5,6,1,9,9
g0042100404,1610612744,203952,50.0,45.45,33.33,1,5,2,1,6,4,2,11,6
g0042100404,1610612738,201143,100.0,0,33.33,2,0,2,0,0,4,2,0,6
g0042100404,1610612744,1626172,0,75.0,0,0,3,0,0,1,0,0,4,0
g0042100404,1610612744,202691,0,42.86,40.0,0,3,4,0,4,6,0,7,10
g0042100404,1610612738,1628369,60.0,26.67,50.0,3,4,4,2,11,4,5,15,8
g0042100404,1610612744,201939,88.89,58.33,50.0,8,7,7,1,5,7,9,12,14
g0042100404,1610612744,203490,100.0,0,0.0,2,0,0,0,0,2,2,0,2
g0042100404,1610612744,203110,0,20.0,0.0,0,1,0,0,4,2,0,5,2
g0042100404,1610612744,1629673,0,66.67,28.57,0,4,2,0,2,5,0,6,7
